Symbol,Timestamp,Open,High,Low,Close,Volume,Dividends,Stock Splits
NKE,2024-08-15 00:00:00,82.0999984741211,83.05999755859375,80.66999816894531,82.5,23564400.0,0.0,0.0
AMD,2024-08-15 00:00:00,143.0,147.9600067138672,141.80999755859375,147.36000061035156,43526300.0,0.0,0.0
AMZN,2024-08-15 00:00:00,174.86000061035156,177.91000366210938,173.99000549316406,177.58999633789062,51620400.0,0.0,0.0
NVDA,2024-08-15 00:00:00,118.76000213623047,123.23999786376953,117.47000122070312,122.86000061035156,316612000.0,0.0,0.0
INTC,2024-08-15 00:00:00,20.31999969482422,21.059999465942383,20.229999542236328,20.690000534057617,84649500.0,0.0,0.0
PYPL,2024-08-15 00:00:00,67.16000366210938,68.12000274658203,67.05000305175781,67.94000244140625,12956300.0,0.0,0.0
ADBE,2024-08-15 00:00:00,545.1900024414062,557.219970703125,545.010009765625,554.1599731445312,2181300.0,0.0,0.0
V,2024-08-15 00:00:00,262.8399963378906,267.3900146484375,262.8399963378906,266.79998779296875,7397500.0,0.0,0.0
META,2024-08-15 00:00:00,531.7899780273438,539.77001953125,526.7000122070312,537.3300170898438,13458500.0,0.0,0.0
MA,2024-08-15 00:00:00,465.1000061035156,469.0,464.0,468.7099914550781,2130500.0,0.0,0.0
COST,2024-08-15 00:00:00,872.8699951171875,880.3300170898438,869.0,877.3499755859375,1921200.0,0.0,0.0
AAPL,2024-08-15 00:00:00,224.60000610351562,225.35000610351562,222.75999450683594,224.72000122070312,46335300.0,0.0,0.0
MSFT,2024-08-15 00:00:00,419.79998779296875,421.1099853515625,417.6600036621094,421.0299987792969,20721500.0,0.0,0.0
MMM,2024-08-15 00:00:00,127.31999969482422,127.94000244140625,126.16999816894531,127.16000366210938,3359100.0,0.0,0.0
PLTR,2024-08-15 00:00:00,31.309999465942383,31.4950008392334,30.829999923706055,31.219999313354492,43256100.0,0.0,0.0
JPM,2024-08-15 00:00:00,213.0,213.88999938964844,211.10000610351562,211.5500030517578,7000300.0,0.0,0.0
BRK-A,2024-08-15 00:00:00,661860.0,663915.0,658004.0,661145.0,1400.0,0.0,0.0
GOOGL,2024-08-15 00:00:00,160.5,161.63999938964844,159.61000061035156,161.3000030517578,31475400.0,0.0,0.0
BAC,2024-08-15 00:00:00,39.43000030517578,39.68000030517578,38.970001220703125,39.029998779296875,37351700.0,0.0,0.0
JNJ,2024-08-15 00:00:00,158.3699951171875,159.5,157.83999633789062,159.08999633789062,7237400.0,0.0,0.0
ABBV,2024-08-15 00:00:00,194.49000549316406,194.99000549316406,191.2899932861328,193.39999389648438,4711600.0,0.0,0.0
BABA,2024-08-15 00:00:00,77.9000015258789,81.87999725341797,77.73999786376953,79.54000091552734,31590200.0,0.0,0.0
O,2024-08-15 00:00:00,59.880001068115234,59.939998626708984,59.40999984741211,59.709999084472656,5584900.0,0.0,0.0
